occ_code,occ_title,match_status,imputed_from,dv_beta_imputed,exposure_residual
33-1012,First-Line Supervisors of Police and Detectives,direct,,0.3289,0
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,direct,,0.4151,0
33-1091,First-Line Supervisors of Security Workers,direct,,0.4048,0
33-2011,Firefighters,direct,,0.1404,0
33-2021,Fire Inspectors and Investigators,direct,,0.2885,0
33-2022,Forest Fire Inspectors and Prevention Specialists,direct,,0.2188,0
33-3011,Bailiffs,direct,,0.0357,0
33-3012,Correctional Officers and Jailers,direct,,0.2614,0
33-3021,Detectives and Criminal Investigators,direct,,0.3974,0
33-3031,Fish and Game Wardens,direct,,0.2841,0
33-3041,Parking Enforcement Workers,direct,,0.3205,0
33-3051,Police and Sheriff's Patrol Officers,direct,,0.3512,0
33-3052,Transit and Railroad Police,direct,,0.25,0
33-9011,Animal Control Workers,direct,,0.35,0
33-9021,Private Detectives and Investigators,direct,,0.3889,0
33-9031,Gambling Surveillance Officers and Gambling Investigators,direct,,0.4375,0
33-9032,Security Guards,direct,,0.1667,0
33-9091,Crossing Guards and Flaggers,direct,,0.1053,0
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",direct,,0.08,0
33-9093,Transportation Security Screeners,direct,,0.26,0
33-9094,School Bus Monitors,direct,,0.1667,0
33-9099,"Protective Service Workers, All Other",direct,,0.378,1
35-1011,Chefs and Head Cooks,direct,,0.2619,0
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,direct,,0.5111,0
35-2011,"Cooks, Fast Food",direct,,0.0,0
35-2012,"Cooks, Institution and Cafeteria",direct,,0.1207,0
35-2013,"Cooks, Private Household",direct,,0.24,0
35-2014,"Cooks, Restaurant",direct,,0.0946,0
35-2015,"Cooks, Short Order",direct,,0.0,0
35-2021,Food Preparation Workers,direct,,0.037,0
35-3011,Bartenders,direct,,0.1944,0
35-3023,Fast Food and Counter Workers,direct,,0.097,0
35-3031,Waiters and Waitresses,direct,,0.1837,0
35-3041,"Food Servers, Nonrestaurant",direct,,0.1296,0
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,direct,,0.0,0
35-9021,Dishwashers,direct,,0.0,0
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",direct,,0.2286,0
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,direct,,0.2653,0
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",direct,,0.3545,0
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",direct,,0.0,1
37-2012,Maids and Housekeeping Cleaners,direct,,0.0,0
37-2021,Pest Control Workers,direct,,0.25,0
37-3011,Landscaping and Groundskeeping Workers,direct,,0.0244,0
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",direct,,0.0556,0
37-3013,Tree Trimmers and Pruners,direct,,0.061,0
39-1013,First-Line Supervisors of Gambling Services Workers,direct,,0.4327,0
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",direct,,0.3684,1
39-1022,First-Line Supervisors of Personal Service Workers,direct,,0.4138,0
39-2011,Animal Trainers,direct,,0.1034,0
39-2021,Animal Caretakers,direct,,0.2727,0
39-3011,Gambling Dealers,direct,,0.1351,0
39-3012,Gambling and Sports Book Writers and Runners,direct,,0.2692,0
39-3021,Motion Picture Projectionists,direct,,0.1818,0
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",direct,,0.1429,0
39-3091,Amusement and Recreation Attendants,direct,,0.2115,0
39-3092,Costume Attendants,direct,,0.2639,0
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",direct,,0.0645,0
39-4011,Embalmers,direct,,0.04,0
39-4012,Crematory Operators,direct,,0.0417,0
39-4021,Funeral Attendants,direct,,0.1778,0
39-4031,"Morticians, Undertakers, and Funeral Arrangers",direct,,0.1628,0
39-5011,Barbers,direct,,0.1618,0
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",direct,,0.0789,0
39-5091,"Makeup Artists, Theatrical and Performance",direct,,0.3415,0
39-5092,Manicurists and Pedicurists,direct,,0.0833,0
39-5093,Shampooers,direct,,0.1429,0
39-5094,Skincare Specialists,direct,,0.197,0
39-6011,Baggage Porters and Bellhops,direct,,0.1481,0
39-6012,Concierges,direct,,0.4667,0
39-9011,Childcare Workers,direct,,0.1414,0
39-9031,Exercise Trainers and Group Fitness Instructors,direct,,0.0147,0
39-9032,Recreation Workers,direct,,0.2381,0
39-9041,Residential Advisors,direct,,0.24,0
41-1011,First-Line Supervisors of Retail Sales Workers,direct,,0.4865,0
41-1012,First-Line Supervisors of Non-Retail Sales Workers,direct,,0.537,0
41-2011,Cashiers,direct,,0.2093,0
41-2012,Gambling Change Persons and Booth Cashiers,direct,,0.2619,0
41-2021,Counter and Rental Clerks,direct,,0.5323,0
41-2022,Parts Salespersons,direct,,0.3429,0
41-2031,Retail Salespersons,direct,,0.3421,0
41-3011,Advertising Sales Agents,direct,,0.5385,0
41-3021,Insurance Sales Agents,direct,,0.5758,0
41-3031,"Securities, Commodities, and Financial Services Sales Agents",direct,,0.6058,0
41-3041,Travel Agents,direct,,0.5625,0
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",direct,,0.6333,1
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",direct,,0.4983,0
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",direct,,0.6207,1
41-9011,Demonstrators and Product Promoters,direct,,0.1282,0
41-9012,Models,direct,,0.2333,0
41-9021,Real Estate Brokers,direct,,0.5,0
41-9022,Real Estate Sales Agents,direct,,0.4375,0
41-9031,Sales Engineers,direct,,0.5114,0
41-9041,Telemarketers,direct,,0.8056,0
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",direct,,0.2609,0
43-1011,First-Line Supervisors of Office and Administrative Support Workers,direct,,0.4896,0
43-2011,"Switchboard Operators, Including Answering Service",direct,,0.629,0
43-2021,Telephone Operators,direct,,0.8947,0
43-3011,Bill and Account Collectors,direct,,0.6964,0
43-3021,Billing and Posting Clerks,direct,,0.7738,0
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",direct,,0.8023,0
43-3041,Gambling Cage Workers,direct,,0.4194,0
43-3051,Payroll and Timekeeping Clerks,direct,,0.8378,0
43-3061,Procurement Clerks,direct,,0.6143,0
43-3071,Tellers,direct,,0.5417,0
43-4011,Brokerage Clerks,direct,,0.7667,0
