supersector_code,supersector_name,year,quarter_label,quarter,event_time,post,employment,avg_hourly_earnings,log_emp,log_wage,log_wbill,n_months,preliminary,aiie_score,aiie_zscore,n_naics
31,Durable goods,2019,Q1,1,-15,0,8022.0,28.83,8.989943046329998,3.3614165116503107,12.35135955798031,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2019,Q2,2,-14,0,8009.666666666667,29.02333333333333,8.988404424548134,3.3681001041724143,12.35650452872055,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2019,Q3,3,-13,0,8004.0,29.2,8.987696695703624,3.374168709274236,12.36186540497786,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2019,Q4,4,-12,0,7966.333333333333,29.46666666666667,8.982979607371949,3.383259680975488,12.366239288347437,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2020,Q1,1,-11,0,7952.0,29.71,8.98117874833641,3.391483689474516,12.372662437810924,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2020,Q2,2,-10,0,7206.333333333333,30.40333333333333,8.882715547986354,3.414552251523957,12.297267799510312,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2020,Q3,3,-9,0,7456.666666666667,30.24,8.916863765816066,3.4091655513113324,12.326029317127398,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2020,Q4,4,-8,0,7514.0,30.416666666666668,8.924523226133914,3.414990703794491,12.339513929928405,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2021,Q1,1,-7,0,7551.333333333333,30.593333333333334,8.929479427092549,3.4207821202985778,12.350261547391128,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2021,Q2,2,-6,0,7574.666666666667,30.930000000000003,8.932564625008908,3.4317265866969784,12.364291211705886,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2021,Q3,3,-5,0,7669.666666666667,31.33,8.945028434051423,3.4445761049641,12.389604539015524,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2021,Q4,4,-4,0,7756.666666666667,31.73,8.956307967628227,3.4572626055951043,12.413570573223332,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2022,Q1,1,-3,0,7823.666666666667,32.053333333333335,8.964908606853433,3.467401182118788,12.43230978897222,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2022,Q2,2,-2,0,7898.0,32.379999999999995,8.974364841846596,3.477540948249489,12.451905790096085,3,0,-0.13620588235294115,-0.2661683208611494,34
